Problem,Topology,NumNodes,TempFailProb,PermFailProb,GridSize,ItersToConverge
push_sum,grid,400,0.1,0.5,50,7
push_sum,fully_connected,400,0.5,0.5,50,11
push_sum,grid,400,0,0.5,25,7
push_sum,grid,400,0.1,0.1,25,11
push_sum,fully_connected,5,0.1,0,5,148
push_sum,line,400,0.1,0.1,5,7
push_sum,imperfect_grid,200,0.1,0.1,5,9
push_sum,imperfect_grid,400,0.5,0.5,25,7
push_sum,line,100,0.1,0.1,25,13
push_sum,grid,200,0,0.5,50,7
push_sum,grid,400,0,0.5,5,9
push_sum,line,400,0,0.5,25,7
push_sum,grid,400,0.1,0.1,5,18
push_sum,imperfect_grid,50,0,0,50,80
push_sum,fully_connected,400,0.1,0.1,5,12
push_sum,line,400,0,0.5,50,7
push_sum,line,400,0.1,0.1,25,13
push_sum,line,400,0.1,0.1,50,7
push_sum,imperfect_grid,400,0.5,0.5,5,7
push_sum,imperfect_grid,75,0.5,0,25,60
push_sum,grid,400,0.1,0.1,50,12
push_sum,line,400,0.1,0.5,25,7
push_sum,grid,400,0,0.1,50,13
push_sum,imperfect_grid,200,0.1,0.1,50,19
push_sum,fully_connected,200,0.5,0.1,5,20
push_sum,imperfect_grid,400,0,0.5,25,7
push_sum,line,400,0.5,0.1,50,15
push_sum,fully_connected,400,0.5,0.1,5,24
push_sum,imperfect_grid,400,0,0.1,50,10
push_sum,imperfect_grid,200,0.5,0.1,25,35
push_sum,line,200,0.5,0.1,25,19
push_sum,imperfect_grid,400,0,0.5,5,9
push_sum,line,400,0,0.1,25,15
push_sum,line,10,0.1,0,25,2869
push_sum,imperfect_grid,400,0,0.5,50,8
push_sum,imperfect_grid,200,0,0.1,25,17
push_sum,line,200,0.5,0.1,50,32
push_sum,imperfect_grid,200,0.5,0.1,50,16
push_sum,imperfect_grid,200,0.5,0.5,25,7
push_sum,imperfect_grid,200,0,0.5,25,8
push_sum,imperfect_grid,400,0.5,0.1,25,17
push_sum,line,400,0.5,0.5,25,7
push_sum,imperfect_grid,400,0.1,0.1,50,7
